id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
400,none,0.474604001,0.0001,659,241,-1,737,721,9,2,11,0.060256564,81.79496521,0.610637665
401,l2,0.886189594,0.0001,395,514,-1,243,603,7,3,7,0.059767989,24.36588975,0.20702529
402,l1,0.103260606,0.001,488,137,-1,718,302,4,4,7,0.096493094,79.2226522,0.908545494
403,l2,0.128971237,0.001,501,475,4,713,460,10,5,10,0.032356441,73.08399143,0.803610802
404,l2,0.546574626,0.001,879,9,4,173,816,8,5,12,0.003609422,26.32670937,0.402431726
405,none,0.439388722,0.0001,669,816,4,438,606,5,3,10,0.021112135,72.0101222,0.50300765
406,l2,0.338870275,0.01,259,279,2,577,583,7,2,7,0.020114406,24.27758424,0.502612352
407,elasticnet,0.483819561,0.001,503,268,2,964,853,2,3,9,0.062694789,79.99145646,2.848687649
408,elasticnet,0.715533352,0.01,206,988,2,212,230,6,4,7,0.013454938,36.84898209,0.305259705
409,l2,0.862464825,0.001,815,123,-1,375,379,4,3,7,0.094463757,57.93320456,0.206063271
410,none,0.219170052,0.0001,494,46,2,434,350,4,5,10,0.09472182,80.12340893,0.201902866
411,none,0.118189542,0.001,442,618,4,289,479,9,5,12,0.018858631,34.84618068,0.302687883
412,l2,0.266401205,0.0001,137,935,2,184,571,4,3,9,0.067113795,95.89182803,0.101961851
413,none,0.416588859,0.001,186,296,4,969,694,10,5,8,0.072166837,18.21208977,0.503875017
414,none,0.614530391,0.01,746,873,4,287,691,3,3,10,0.037284266,33.80350092,0.202588081
415,elasticnet,0.397464268,0.0001,557,732,-1,109,971,5,4,7,0.048835015,91.57623826,0.506874561
416,l2,0.423193493,0.01,561,334,-1,725,521,2,4,10,0.068984257,40.03334528,0.272582531
417,none,0.822261005,0.01,945,334,-1,385,527,6,5,9,0.061711154,95.02194469,0.307641506
418,l2,0.685330953,0.001,173,486,1,934,474,3,3,9,0.056272732,88.00545709,0.335938215
419,elasticnet,0.567618986,0.01,297,536,2,464,123,2,5,10,0.017770723,44.28213098,0.154122591
420,none,0.390634639,0.0001,655,420,8,167,139,2,4,6,0.063899324,97.05164663,0.022680521
421,l1,0.586435618,0.0001,517,963,4,870,163,9,3,10,0.079328993,49.16819145,1.905080318
422,l1,0.865971724,0.01,973,184,2,321,390,2,3,9,0.05796443,13.49848601,0.680450201
423,none,0.632507505,0.01,671,512,8,435,642,6,3,9,0.075334069,83.44486185,0.303454399
424,none,0.864568723,0.001,413,624,4,709,751,7,2,8,0.091871321,38.58282309,0.603783131
425,elasticnet,0.498690536,0.0001,858,318,8,248,531,4,3,7,0.049558332,12.26572995,0.904220104
426,none,0.130251622,0.001,121,661,1,160,916,8,2,9,0.003370651,41.75719514,0.178184032
427,elasticnet,0.317893589,0.001,404,632,2,553,619,8,2,10,0.060732644,4.434959835,3.908815861
428,l1,0.170427738,0.01,182,492,8,415,486,10,3,8,0.049065986,77.64837008,0.505278587
429,l2,0.492877939,0.0001,565,338,8,796,687,10,2,7,0.075660037,98.56668989,0.905070543
430,none,0.11737233,0.001,993,573,8,517,206,4,4,8,0.019964179,56.45201058,0.303614378
431,elasticnet,0.529606255,0.0001,889,294,-1,753,981,7,3,9,0.099578514,36.82889559,5.216220379
432,l1,0.309953168,0.0001,769,150,-1,434,256,3,3,10,0.087176789,15.51290457,0.606585264
433,elasticnet,0.402884285,0.001,887,93,1,413,147,7,5,11,0.006877506,16.46215164,2.631711245
434,l2,0.249810874,0.0001,138,179,8,753,299,3,2,5,0.046400582,54.91850149,0.10261178
435,l1,0.318138596,0.0001,158,731,2,172,750,10,3,8,0.093430359,41.53806428,0.702824354
436,l2,0.485366527,0.01,170,249,-1,571,505,8,2,10,0.038234479,54.06494188,0.107580662
437,l1,0.132118474,0.0001,250,655,8,444,327,8,2,9,0.057033496,66.87115545,0.403540373
438,elasticnet,0.435037116,0.01,886,342,1,963,537,9,2,11,0.078279086,74.2089876,26.91261172
439,l1,0.321088044,0.01,442,852,4,639,199,2,2,7,0.030558234,93.64952523,0.332245827
